"observation","public.feedback","private.feedback","public.feedback.bins"
219,5,"Definitely Yes","(4.75,5]"
220,5,"Definitely Yes","(4.75,5]"
221,5,"Definitely Yes","(4.75,5]"
222,5,"Definitely Yes","(4.75,5]"
223,5,"Definitely Yes","(4.75,5]"
224,5,"Definitely Yes","(4.75,5]"
225,5,"Definitely Yes","(4.75,5]"
226,5,"Definitely Yes","(4.75,5]"
227,5,"Definitely Yes","(4.75,5]"
228,4.65,"Probably Yes","(4.5,4.75]"
229,5,"Probably Not","(4.75,5]"
230,5,"Definitely Yes","(4.75,5]"
231,5,"Definitely Yes","(4.75,5]"
232,5,"Probably Yes","(4.75,5]"
233,5,"Definitely Yes","(4.75,5]"
234,5,"Definitely Yes","(4.75,5]"
235,5,"Definitely Yes","(4.75,5]"
236,4.85,"Definitely Yes","(4.75,5]"
237,5,"Definitely Yes","(4.75,5]"
238,5,"Definitely Yes","(4.75,5]"
239,5,"Definitely Yes","(4.75,5]"
240,5,"Definitely Yes","(4.75,5]"
241,1.6,"Definitely Not","(1.5,1.75]"
242,5,"Definitely Yes","(4.75,5]"
243,5,"Definitely Yes","(4.75,5]"
244,5,"Definitely Yes","(4.75,5]"
245,5,"Definitely Yes","(4.75,5]"
246,5,"Definitely Yes","(4.75,5]"
247,1,"Definitely Not","[1,1.25]"
248,4.65,"Probably Yes","(4.5,4.75]"
249,5,"Definitely Yes","(4.75,5]"
250,5,"Definitely Yes","(4.75,5]"
251,5,"Definitely Yes","(4.75,5]"
252,4.6,"Definitely Yes","(4.5,4.75]"
253,5,"Definitely Yes","(4.75,5]"
254,5,"Definitely Yes","(4.75,5]"
255,5,"Definitely Yes","(4.75,5]"
256,5,"Definitely Yes","(4.75,5]"
257,5,"Definitely Yes","(4.75,5]"
258,5,"Probably Yes","(4.75,5]"
259,5,"Definitely Yes","(4.75,5]"
260,5,"Definitely Yes","(4.75,5]"
261,5,"Definitely Yes","(4.75,5]"
262,5,"Definitely Yes","(4.75,5]"
263,5,"Probably Yes","(4.75,5]"
264,5,"Definitely Yes","(4.75,5]"
265,5,"Definitely Yes","(4.75,5]"
266,5,"Definitely Yes","(4.75,5]"
267,5,"Definitely Yes","(4.75,5]"
268,5,"Definitely Yes","(4.75,5]"
269,5,"Definitely Yes","(4.75,5]"
270,5,"Definitely Yes","(4.75,5]"
271,5,"Definitely Yes","(4.75,5]"
272,5,"Definitely Yes","(4.75,5]"
273,5,"Probably Yes","(4.75,5]"
274,5,"Definitely Yes","(4.75,5]"
275,5,"Definitely Yes","(4.75,5]"
276,5,"Probably Yes","(4.75,5]"
277,5,"Definitely Yes","(4.75,5]"
278,5,"Definitely Yes","(4.75,5]"
279,4.15,"Probably Yes","(4,4.25]"
280,5,"Definitely Yes","(4.75,5]"
281,4.65,"Definitely Yes","(4.5,4.75]"
282,5,"Definitely Yes","(4.75,5]"
283,5,"Definitely Yes","(4.75,5]"
284,5,"Definitely Yes","(4.75,5]"
285,5,"Definitely Yes","(4.75,5]"
286,5,"Definitely Yes","(4.75,5]"
287,5,"Definitely Yes","(4.75,5]"
288,5,"Definitely Yes","(4.75,5]"
289,5,"Probably Yes","(4.75,5]"
290,5,"Definitely Yes","(4.75,5]"
291,5,"Definitely Yes","(4.75,5]"
292,5,"Definitely Yes","(4.75,5]"
293,5,"Definitely Yes","(4.75,5]"
294,4.85,"Probably Yes","(4.75,5]"
295,5,"Definitely Yes","(4.75,5]"
296,5,"Probably Yes","(4.75,5]"
297,5,"Definitely Yes","(4.75,5]"
298,5,"Definitely Yes","(4.75,5]"
299,5,"Probably Not","(4.75,5]"
300,5,"Definitely Yes","(4.75,5]"
301,5,"Definitely Yes","(4.75,5]"
302,5,"Definitely Yes","(4.75,5]"
303,5,"Probably Not","(4.75,5]"
304,5,"Definitely Yes","(4.75,5]"
305,5,"Definitely Yes","(4.75,5]"
306,5,"Definitely Yes","(4.75,5]"
307,5,"Definitely Yes","(4.75,5]"
308,5,"Definitely Yes","(4.75,5]"
309,5,"Definitely Yes","(4.75,5]"
310,5,"Definitely Yes","(4.75,5]"
311,5,"Definitely Yes","(4.75,5]"
312,5,"Definitely Yes","(4.75,5]"
313,5,"Definitely Yes","(4.75,5]"
314,5,"Probably Yes","(4.75,5]"
315,5,"Definitely Yes","(4.75,5]"
316,3.6,"Definitely Not","(3.5,3.75]"
317,4.5,"Definitely Yes","(4.25,4.5]"
318,5,"Definitely Yes","(4.75,5]"
319,3.75,"Probably Not","(3.5,3.75]"
320,5,"Definitely Yes","(4.75,5]"
321,5,"Probably Yes","(4.75,5]"
322,5,"Definitely Yes","(4.75,5]"
323,5,"Definitely Yes","(4.75,5]"
324,5,"Definitely Yes","(4.75,5]"
325,5,"Definitely Yes","(4.75,5]"
326,5,"Definitely Yes","(4.75,5]"
327,5,"Probably Yes","(4.75,5]"
328,5,"Definitely Yes","(4.75,5]"
329,4.85,"Definitely Yes","(4.75,5]"
330,5,"Probably Yes","(4.75,5]"
331,5,"Definitely Yes","(4.75,5]"
332,5,"Definitely Yes","(4.75,5]"
333,5,"Definitely Yes","(4.75,5]"
334,5,"Definitely Yes","(4.75,5]"
335,4.6,"Probably Yes","(4.5,4.75]"
336,5,"Definitely Yes","(4.75,5]"
337,4.05,"Probably Yes","(4,4.25]"
338,5,"Definitely Yes","(4.75,5]"
339,5,"Probably Yes","(4.75,5]"
340,4,"Probably Not","(3.75,4]"
341,4.7,"Probably Yes","(4.5,4.75]"
342,3.15,"Probably Not","(3,3.25]"
343,5,"Definitely Yes","(4.75,5]"
344,5,"Definitely Yes","(4.75,5]"
345,5,"Definitely Yes","(4.75,5]"
346,5,"Definitely Yes","(4.75,5]"
347,5,"Definitely Yes","(4.75,5]"
348,5,"Definitely Yes","(4.75,5]"
349,5,"Definitely Yes","(4.75,5]"
350,5,"Definitely Yes","(4.75,5]"
351,2.35,"Definitely Not","(2.25,2.5]"
352,5,"Definitely Yes","(4.75,5]"
353,5,"Definitely Yes","(4.75,5]"
354,5,"Definitely Yes","(4.75,5]"
355,5,"Definitely Yes","(4.75,5]"
356,5,"Probably Yes","(4.75,5]"
357,4.7,"Definitely Yes","(4.5,4.75]"
358,5,"Definitely Yes","(4.75,5]"
359,4,"Probably Yes","(3.75,4]"
360,5,"Definitely Yes","(4.75,5]"
361,5,"Definitely Yes","(4.75,5]"
362,5,"Definitely Yes","(4.75,5]"
363,4,"Probably Not","(3.75,4]"
364,5,"Definitely Yes","(4.75,5]"
365,5,"Definitely Yes","(4.75,5]"
366,5,"Definitely Yes","(4.75,5]"
367,5,"Definitely Yes","(4.75,5]"
368,5,"Definitely Yes","(4.75,5]"
369,5,"Probably Yes","(4.75,5]"
370,5,"Definitely Yes","(4.75,5]"
371,5,"Definitely Yes","(4.75,5]"
372,4.85,"Definitely Yes","(4.75,5]"
373,5,"Definitely Yes","(4.75,5]"
374,5,"Definitely Yes","(4.75,5]"
375,4,"Probably Not","(3.75,4]"
376,4.8,"Probably Yes","(4.75,5]"
377,5,"Probably Yes","(4.75,5]"
378,5,"Definitely Yes","(4.75,5]"
379,5,"Definitely Yes","(4.75,5]"
380,5,"Definitely Yes","(4.75,5]"
381,4.7,"Definitely Yes","(4.5,4.75]"
382,5,"Definitely Yes","(4.75,5]"
383,5,"Definitely Yes","(4.75,5]"
384,5,"Definitely Yes","(4.75,5]"
385,4.4,"Probably Yes","(4.25,4.5]"
386,5,"Definitely Yes","(4.75,5]"
387,5,"Definitely Yes","(4.75,5]"
388,5,"Definitely Yes","(4.75,5]"
389,5,"Definitely Yes","(4.75,5]"
390,5,"Definitely Yes","(4.75,5]"
391,5,"Definitely Yes","(4.75,5]"
392,5,"Definitely Yes","(4.75,5]"
393,5,"Definitely Yes","(4.75,5]"
394,5,"Definitely Yes","(4.75,5]"
395,4,"Probably Yes","(3.75,4]"
396,5,"Probably Not","(4.75,5]"
397,5,"Definitely Yes","(4.75,5]"
398,5,"Definitely Yes","(4.75,5]"
399,5,"Definitely Yes","(4.75,5]"
400,5,"Definitely Yes","(4.75,5]"
401,4.8,"Probably Not","(4.75,5]"
402,5,"Definitely Yes","(4.75,5]"
403,5,"Definitely Yes","(4.75,5]"
404,5,"Definitely Yes","(4.75,5]"
405,5,"Definitely Yes","(4.75,5]"
406,5,"Definitely Yes","(4.75,5]"
407,5,"Probably Yes","(4.75,5]"
408,5,"Definitely Yes","(4.75,5]"
409,5,"Definitely Yes","(4.75,5]"
410,5,"Definitely Yes","(4.75,5]"
411,5,"Definitely Yes","(4.75,5]"
412,5,"Definitely Yes","(4.75,5]"
413,5,"Definitely Yes","(4.75,5]"
414,5,"Definitely Yes","(4.75,5]"
415,3,"Probably Not","(2.75,3]"
416,5,"Definitely Yes","(4.75,5]"
417,5,"Definitely Yes","(4.75,5]"
418,4.55,"Probably Yes","(4.5,4.75]"
419,5,"Probably Not","(4.75,5]"
420,5,"Definitely Yes","(4.75,5]"
421,5,"Definitely Yes","(4.75,5]"
422,5,"Definitely Yes","(4.75,5]"
423,5,"Definitely Yes","(4.75,5]"
424,5,"Definitely Yes","(4.75,5]"
425,5,"Probably Yes","(4.75,5]"
426,4.85,"Definitely Yes","(4.75,5]"
427,4.7,"Definitely Yes","(4.5,4.75]"
428,5,"Definitely Yes","(4.75,5]"
429,5,"Definitely Yes","(4.75,5]"
430,5,"Definitely Yes","(4.75,5]"
431,5,"Definitely Yes","(4.75,5]"
432,5,"Probably Yes","(4.75,5]"
433,5,"Probably Yes","(4.75,5]"
434,5,"Probably Yes","(4.75,5]"
435,5,"Definitely Yes","(4.75,5]"
436,5,"Definitely Yes","(4.75,5]"
437,5,"Definitely Yes","(4.75,5]"
438,5,"Definitely Yes","(4.75,5]"
439,5,"Definitely Yes","(4.75,5]"
440,5,"Definitely Yes","(4.75,5]"
441,4.5,"Probably Yes","(4.25,4.5]"
442,4.55,"Definitely Yes","(4.5,4.75]"
443,5,"Definitely Yes","(4.75,5]"
444,4.8,"Probably Yes","(4.75,5]"
445,5,"Definitely Yes","(4.75,5]"
446,5,"Definitely Yes","(4.75,5]"
447,5,"Definitely Yes","(4.75,5]"
448,5,"Definitely Yes","(4.75,5]"
449,5,"Probably Yes","(4.75,5]"
450,5,"Probably Yes","(4.75,5]"
451,5,"Definitely Yes","(4.75,5]"
452,5,"Definitely Yes","(4.75,5]"
453,5,"Probably Yes","(4.75,5]"
454,4.85,"Probably Yes","(4.75,5]"
455,4.8,"Definitely Yes","(4.75,5]"
456,5,"Definitely Yes","(4.75,5]"
457,5,"Definitely Yes","(4.75,5]"
458,5,"Definitely Yes","(4.75,5]"
459,4.25,"Probably Yes","(4,4.25]"
460,5,"Definitely Not","(4.75,5]"
461,5,"Definitely Yes","(4.75,5]"
462,4.85,"Definitely Yes","(4.75,5]"
463,5,"Definitely Yes","(4.75,5]"
464,1,"Definitely Not","[1,1.25]"
465,5,"Probably Yes","(4.75,5]"
466,5,"Definitely Yes","(4.75,5]"
467,5,"Probably Yes","(4.75,5]"
468,5,"Definitely Yes","(4.75,5]"
469,4.7,"Probably Yes","(4.5,4.75]"
470,5,"Probably Yes","(4.75,5]"
471,5,"Definitely Yes","(4.75,5]"
472,5,"Definitely Yes","(4.75,5]"
473,5,"Definitely Yes","(4.75,5]"
474,5,"Definitely Yes","(4.75,5]"
475,5,"Definitely Yes","(4.75,5]"
476,5,"Definitely Yes","(4.75,5]"
477,5,"Definitely Yes","(4.75,5]"
478,5,"Definitely Yes","(4.75,5]"
479,5,"Definitely Yes","(4.75,5]"
480,5,"Probably Yes","(4.75,5]"
481,5,"Probably Yes","(4.75,5]"
482,5,"Definitely Yes","(4.75,5]"
483,5,"Definitely Yes","(4.75,5]"
484,5,"Definitely Yes","(4.75,5]"
485,5,"Definitely Yes","(4.75,5]"
486,5,"Definitely Yes","(4.75,5]"
487,5,"Probably Yes","(4.75,5]"
488,5,"Definitely Yes","(4.75,5]"
489,5,"Definitely Yes","(4.75,5]"
490,5,"Definitely Yes","(4.75,5]"
491,5,"Definitely Yes","(4.75,5]"
492,5,"Definitely Yes","(4.75,5]"
493,5,"Definitely Yes","(4.75,5]"
494,5,"Definitely Yes","(4.75,5]"
495,5,"Probably Yes","(4.75,5]"
496,5,"Definitely Yes","(4.75,5]"
497,5,"Probably Yes","(4.75,5]"
498,5,"Probably Yes","(4.75,5]"
499,5,"Definitely Yes","(4.75,5]"
500,5,"Definitely Yes","(4.75,5]"
501,5,"Definitely Yes","(4.75,5]"
502,5,"Definitely Yes","(4.75,5]"
503,5,"Definitely Yes","(4.75,5]"
504,5,"Definitely Yes","(4.75,5]"
505,5,"Definitely Yes","(4.75,5]"
506,5,"Definitely Yes","(4.75,5]"
507,5,"Definitely Yes","(4.75,5]"
508,5,"Probably Yes","(4.75,5]"
509,5,"Definitely Yes","(4.75,5]"
510,5,"Definitely Yes","(4.75,5]"
511,5,"Definitely Yes","(4.75,5]"
512,5,"Definitely Yes","(4.75,5]"
513,5,"Definitely Yes","(4.75,5]"
514,4.7,"Definitely Yes","(4.5,4.75]"
515,3.95,"Probably Not","(3.75,4]"
516,4.05,"Definitely Not","(4,4.25]"
517,5,"Definitely Yes","(4.75,5]"
518,5,"Definitely Yes","(4.75,5]"
519,3.7,"Probably Yes","(3.5,3.75]"
520,5,"Definitely Yes","(4.75,5]"
521,5,"Definitely Yes","(4.75,5]"
522,5,"Definitely Yes","(4.75,5]"
523,5,"Definitely Yes","(4.75,5]"
524,5,"Definitely Yes","(4.75,5]"
525,5,"Definitely Yes","(4.75,5]"
526,5,"Definitely Yes","(4.75,5]"
527,5,"Definitely Yes","(4.75,5]"
528,5,"Definitely Yes","(4.75,5]"
529,5,"Definitely Yes","(4.75,5]"
530,4.55,"Probably Yes","(4.5,4.75]"
531,5,"Definitely Yes","(4.75,5]"
532,4.5,"Definitely Yes","(4.25,4.5]"
533,5,"Definitely Yes","(4.75,5]"
534,4.7,"Definitely Yes","(4.5,4.75]"
535,5,"Definitely Yes","(4.75,5]"
536,4.6,"Definitely Yes","(4.5,4.75]"
537,5,"Definitely Yes","(4.75,5]"
538,5,"Definitely Yes","(4.75,5]"
539,5,"Definitely Yes","(4.75,5]"
540,5,"Definitely Yes","(4.75,5]"
541,5,"Probably Yes","(4.75,5]"
542,5,"Definitely Yes","(4.75,5]"
543,5,"Definitely Yes","(4.75,5]"
544,5,"Definitely Yes","(4.75,5]"
545,5,"Definitely Yes","(4.75,5]"
546,5,"Probably Yes","(4.75,5]"
547,5,"Definitely Yes","(4.75,5]"
548,5,"Definitely Yes","(4.75,5]"
549,5,"Definitely Yes","(4.75,5]"
550,5,"Definitely Yes","(4.75,5]"
551,5,"Definitely Yes","(4.75,5]"
552,5,"Definitely Yes","(4.75,5]"
553,5,"Definitely Yes","(4.75,5]"
554,5,"Definitely Yes","(4.75,5]"
555,5,"Definitely Yes","(4.75,5]"
556,5,"Definitely Yes","(4.75,5]"
557,5,"Definitely Yes","(4.75,5]"
558,4.85,"Definitely Yes","(4.75,5]"
559,5,"Definitely Yes","(4.75,5]"
560,5,"Definitely Yes","(4.75,5]"
561,5,"Definitely Yes","(4.75,5]"
562,5,"Definitely Yes","(4.75,5]"
563,5,"Definitely Yes","(4.75,5]"
564,5,"Probably Yes","(4.75,5]"
565,5,"Definitely Yes","(4.75,5]"
566,5,"Definitely Yes","(4.75,5]"
567,5,"Definitely Yes","(4.75,5]"
568,5,"Definitely Yes","(4.75,5]"
569,5,"Definitely Yes","(4.75,5]"
570,5,"Definitely Yes","(4.75,5]"
571,5,"Definitely Yes","(4.75,5]"
572,5,"Definitely Yes","(4.75,5]"
573,5,"Definitely Yes","(4.75,5]"
574,1,"Definitely Not","[1,1.25]"
575,4.65,"Probably Yes","(4.5,4.75]"
576,5,"Definitely Yes","(4.75,5]"
577,5,"Definitely Yes","(4.75,5]"
578,5,"Definitely Yes","(4.75,5]"
579,4.85,"Probably Yes","(4.75,5]"
580,5,"Definitely Yes","(4.75,5]"
581,5,"Definitely Yes","(4.75,5]"
582,5,"Definitely Yes","(4.75,5]"
583,5,"Definitely Yes","(4.75,5]"
584,5,"Definitely Yes","(4.75,5]"
585,5,"Probably Yes","(4.75,5]"
586,5,"Definitely Yes","(4.75,5]"
587,4.5,"Probably Yes","(4.25,4.5]"
588,5,"Definitely Yes","(4.75,5]"
589,5,"Definitely Yes","(4.75,5]"
590,5,"Definitely Yes","(4.75,5]"
591,5,"Definitely Yes","(4.75,5]"
592,5,"Definitely Yes","(4.75,5]"
593,5,"Definitely Yes","(4.75,5]"
594,4.85,"Definitely Yes","(4.75,5]"
595,4.65,"Probably Yes","(4.5,4.75]"
596,5,"Probably Yes","(4.75,5]"
597,5,"Definitely Yes","(4.75,5]"
598,5,"Definitely Yes","(4.75,5]"
599,5,"Definitely Yes","(4.75,5]"
600,5,"Definitely Yes","(4.75,5]"
601,5,"Definitely Yes","(4.75,5]"
602,5,"Definitely Yes","(4.75,5]"
603,5,"Definitely Yes","(4.75,5]"
604,5,"Definitely Yes","(4.75,5]"
605,5,"Definitely Yes","(4.75,5]"
606,4.85,"Definitely Yes","(4.75,5]"
607,5,"Definitely Yes","(4.75,5]"
608,5,"Definitely Yes","(4.75,5]"
609,5,"Definitely Yes","(4.75,5]"
610,5,"Definitely Yes","(4.75,5]"
611,5,"Definitely Yes","(4.75,5]"
612,5,"Definitely Yes","(4.75,5]"
613,4.8,"Definitely Yes","(4.75,5]"
614,5,"Definitely Yes","(4.75,5]"
615,5,"Definitely Yes","(4.75,5]"
616,4.85,"Probably Yes","(4.75,5]"
617,5,"Definitely Yes","(4.75,5]"
618,5,"Definitely Yes","(4.75,5]"
619,5,"Definitely Yes","(4.75,5]"
620,5,"Definitely Yes","(4.75,5]"
621,5,"Definitely Yes","(4.75,5]"
622,5,"Definitely Yes","(4.75,5]"
623,5,"Definitely Yes","(4.75,5]"
624,5,"Definitely Yes","(4.75,5]"
625,5,"Probably Yes","(4.75,5]"
626,5,"Definitely Yes","(4.75,5]"
627,4.7,"Probably Yes","(4.5,4.75]"
628,5,"Definitely Yes","(4.75,5]"
